time/episodes,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,train/critic_loss,time/fps,rollout/ep_len_mean,train/n_updates
4,0.001,-112.582941,2,354,-1.0576236620545387,79.67177392574067,153,88.5,162
8,0.001,-114.248400875,8,872,2.2076615476689767,16.838802204700187,98,109.0,682
12,0.001,-114.40825933333333,15,2800,-3.9482310008311616,9.831142924833989,180,233.33333333333334,1138
16,0.001,-117.24239062500001,35,2970,-39.71798951285226,7.559291477714266,83,185.625,2866
20,0.001,-118.22749820000001,39,3348,-40.42300392377494,13.500373079044984,85,167.4,3156
24,0.001,-117.89353608333333,63,6192,-51.63472494712243,8.134764111385895,97,258.0,5079
28,0.001,-116.58646042857141,98,8114,-92.19096152875676,4.395367769555673,82,289.7857142857143,7995
32,0.001,-115.892215625,123,10102,-114.2572458681853,5.252750726368117,82,315.6875,9956
36,0.001,-114.29881636111112,126,10395,-117.2532862678903,6.876573894844681,81,288.75,10253
40,0.001,-115.137942,149,12225,-122.15039946079254,5.5275158816576,81,305.625,12109
44,0.001,-115.65501293181819,152,12504,-127.47942895758642,20.210046167243018,81,284.1818181818182,12341
48,0.001,-115.22406256250001,157,12876,-128.44088756016322,9.51971172605242,81,268.25,12697
52,0.001,-115.12347263461538,164,13374,-129.4455139290573,8.729311021984133,81,257.1923076923077,13238
56,0.001,-115.49049730357144,169,13760,-129.51229920258393,10.517459460206934,81,245.71428571428572,13613
60,0.001,-115.25075011666668,172,14046,-128.5218193825711,10.954357932122905,81,234.1,13918
64,0.001,-114.92004009375,176,14293,-129.48750265021073,9.409626396078812,81,223.328125,14170
68,0.001,-114.68265141176472,179,14587,-128.30401123547162,8.357057508875112,81,214.51470588235293,14472
72,0.001,-114.25782870833334,183,14859,-129.4624799611617,8.220034601737042,81,206.375,14747
76,0.001,-114.43796223684211,188,15290,-129.73770141601562,10.372790664037069,81,201.18421052631578,15129
80,0.001,-114.24404345,192,15611,-129.06824677249034,12.487157350563141,81,195.1375,15461
84,0.001,-114.21752779761904,196,16031,-126.70236410221584,12.625996770993085,81,190.8452380952381,15811
88,0.001,-114.36488013636364,203,16548,-126.5958424404528,12.16712128622292,81,188.04545454545453,16327
92,0.001,-116.00867389130435,253,21120,-134.97549008846283,8.976804938167334,83,229.56521739130434,20279
96,0.001,-115.28547388541666,287,23320,-144.3102027274467,10.019565871169975,81,242.91666666666666,23128
100,0.001,-114.6807147,305,24740,-146.9833332014478,11.334783612203992,80,247.4,24560
104,0.001,-115.89297866000001,333,27732,-150.23360376897847,10.458229689328176,83,273.78,26759
108,0.001,-115.57992964,351,28374,-150.05610299879504,11.558823697028622,80,275.02,28239
112,0.001,-115.18580815000001,357,28966,-149.7871825335777,11.737099549541735,80,261.66,28744
116,0.001,-115.13946511000002,375,30336,-150.5950057023055,17.263773904813753,80,273.66,30183
120,0.001,-115.49280368,381,30928,-149.38106132212266,14.265969558315382,80,275.8,30666
