rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/exploration_rate,time/episodes,time/fps,train/learning_rate,train/loss,train/n_updates
-200.0,0,800,200.0,0.962,4,9193,,,
-200.0,0,1600,200.0,0.9239999999999999,8,8949,,,
-200.0,0,2400,200.0,0.8859999999999999,12,8995,,,
-200.0,0,3200,200.0,0.8479999999999999,16,8960,,,
-200.0,0,4000,200.0,0.8099999999999998,20,8885,,,
-200.0,0,4800,200.0,0.7719999999999998,24,8886,,,
-200.0,0,5600,200.0,0.7339999999999998,28,8900,,,
-200.0,0,6400,200.0,0.6959999999999997,32,8911,,,
-200.0,0,7200,200.0,0.6579999999999997,36,8930,,,
-200.0,0,8000,200.0,0.6199999999999997,40,8946,,,
-200.0,0,8800,200.0,0.5819999999999996,44,8953,,,
-200.0,1,9600,200.0,0.5439999999999996,48,8964,,,
-200.0,1,10400,200.0,0.5059999999999996,52,8912,,,
-200.0,1,11200,200.0,0.4679999999999995,56,8918,,,
-200.0,1,12000,200.0,0.4299999999999995,60,8915,,,
-200.0,1,12800,200.0,0.39199999999999957,64,8901,,,
-200.0,1,13600,200.0,0.3539999999999994,68,8895,,,
-200.0,1,14400,200.0,0.3160000000000006,72,8900,,,
-200.0,1,15200,200.0,0.27800000000000047,76,8888,,,
-200.0,1,16000,200.0,0.24000000000000044,80,8874,,,
-200.0,1,16800,200.0,0.2020000000000004,84,8860,,,
-200.0,1,17600,200.0,0.16400000000000037,88,8848,,,
-200.0,2,18400,200.0,0.12600000000000044,92,8841,,,
-200.0,2,19200,200.0,0.0880000000000003,96,8835,,,
-200.0,2,20000,200.0,0.050000000000000266,100,8830,,,
-200.0,2,20800,200.0,0.05,104,8825,,,
-200.0,2,21600,200.0,0.05,108,8802,,,
-200.0,2,22400,200.0,0.05,112,8798,,,
-200.0,2,23200,200.0,0.05,116,8797,,,
-200.0,2,24000,200.0,0.05,120,8787,,,
-200.0,2,24800,200.0,0.05,124,8781,,,
-200.0,2,25600,200.0,0.05,128,8778,,,
-200.0,3,26400,200.0,0.05,132,8773,,,
-200.0,3,27200,200.0,0.05,136,8771,,,
-200.0,3,28000,200.0,0.05,140,8768,,,
-200.0,3,28800,200.0,0.05,144,8767,,,
-200.0,3,29600,200.0,0.05,148,8768,,,
-200.0,3,30400,200.0,0.05,152,8771,,,
-200.0,3,31200,200.0,0.05,156,8764,,,
-200.0,3,32000,200.0,0.05,160,8765,,,
-200.0,3,32800,200.0,0.05,164,8768,,,
-200.0,3,33600,200.0,0.05,168,8766,,,
-200.0,3,34400,200.0,0.05,172,8762,,,
-200.0,4,35200,200.0,0.05,176,8761,,,
-200.0,4,36000,200.0,0.05,180,8770,,,
-200.0,4,36800,200.0,0.05,184,8770,,,
