time/episodes,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,train/critic_loss,time/fps,rollout/ep_len_mean,train/n_updates
4,0.001,-0.9910257499999999,35,3996,0.03594908515574994,1.3721621362291299e-06,112,999.0,2997
8,0.001,-0.519577875,82,7992,0.028757259967523412,1.1461811039669644e-06,97,999.0,6993
12,0.001,-0.34879566666666667,129,11988,0.021905227926922392,1.7290723384975846e-07,92,999.0,10989
16,0.001,-0.26341925,176,15984,0.017098023657788623,1.0070889422375529e-07,90,999.0,14985
20,0.001,-0.2119322,222,19980,0.014200396094661396,1.2207139587066113e-07,89,999.0,18981
24,0.001,-0.17719658333333332,268,23976,0.011608889605197403,7.653391673112442e-08,89,999.0,22977
28,0.001,-0.15230778571428574,315,27972,0.009760263993090636,5.80628281776285e-08,88,999.0,26973
32,0.001,-0.13431634375,361,31968,0.007934181320315993,6.468480738180598e-08,88,999.0,30969
36,0.001,-0.12052030555555555,407,35964,0.006423764127503346,6.446781585647123e-08,88,999.0,34965
40,0.001,-0.109836775,455,39960,0.005199845907771522,7.287529540311244e-08,87,999.0,38961
44,0.001,-0.10055706818181818,501,43956,0.004306073906972214,3.6791948002449017e-08,87,999.0,42957
48,0.001,-0.09298702083333334,548,47952,0.0034778887730882364,9.277934594008128e-09,87,999.0,46953
52,0.001,-0.08756534615384616,595,51948,0.0027868209366646553,3.8455535381468465e-08,87,999.0,50949
56,0.001,-0.08399225000000002,641,55944,0.0022784241424357,2.8428561940163166e-08,87,999.0,54945
60,0.001,-0.07988925000000004,688,59940,0.0018946511446739788,3.4099520288194616e-08,87,999.0,58941
64,0.001,-0.07598867187500001,735,63936,0.0015676653776383093,3.684080539791681e-08,86,999.0,62937
68,0.001,-0.07247923529411765,783,67932,0.0013413175177696096,3.071834347853483e-08,86,999.0,66933
72,0.001,-0.06891356944444443,832,71928,0.0012121371443251016,4.233958586105243e-08,86,999.0,70929
76,0.001,-0.06552763157894737,881,75924,0.001057775143218843,2.2859639765727858e-08,86,999.0,74925
80,0.001,-0.062754475,931,79920,0.0008669563539587689,3.449984238554346e-08,85,999.0,78921
84,0.001,-0.06012089285714286,981,83916,0.000527244403365494,2.6689774374600417e-08,85,999.0,82917
88,0.001,-0.05768223863636364,1031,87912,8.35368036592871e-05,2.4220588622202143e-08,85,999.0,86913
92,0.001,-0.05599969565217392,1082,91908,-0.00017742334954007688,1.6290745395459734e-07,84,999.0,90909
96,0.001,-0.054153239583333325,1132,95904,-0.00016608418883641015,2.8205818803317917e-08,84,999.0,94905
100,0.001,-0.05210400999999999,1182,99900,-8.407343255304715e-05,3.1034515970223355e-08,84,999.0,98901
104,0.001,-0.01264446,1232,103896,-4.8806446111720806e-05,2.5145617511816703e-08,84,999.0,102897
108,0.001,-0.01085409,1282,107892,-7.70811925200242e-05,2.409355224759475e-08,84,999.0,106893
112,0.001,-0.010752339999999997,1333,111888,-5.8176645462832095e-05,2.1629448072636482e-08,83,999.0,110889
116,0.001,-0.010522049999999998,1383,115884,-3.141711760927417e-05,2.4598189508557794e-08,83,999.0,114885
120,0.001,-0.01036981,1433,119880,-1.439809166275357e-05,2.517830398282514e-08,83,999.0,118881
124,0.001,-0.01187682,1484,123876,-7.655555947579458e-07,1.787523204180022e-08,83,999.0,122877
128,0.001,-0.01178493,1534,127872,-4.459406340638504e-05,1.907240209572033e-08,83,999.0,126873
132,0.001,-0.011916169999999998,1585,131868,-9.065172047173876e-05,1.768801869576223e-08,83,999.0,130869
136,0.001,-0.011577789999999998,1636,135864,-0.00010928763911705359,2.3514280002794535e-08,83,999.0,134865
140,0.001,-0.011511059999999997,1686,139860,-0.0001137342222356316,2.1213657953418158e-08,82,999.0,138861
144,0.001,-0.01258996,1737,143856,-8.341402438153314e-05,1.7211108929232127e-08,82,999.0,142857
148,0.001,-0.012736879999999999,1787,147852,-8.516931189071963e-05,1.878354815061974e-08,82,999.0,146853
152,0.001,-0.012379689999999999,1838,151848,-8.794072158461556e-05,1.6606840348210917e-08,82,999.0,150849
156,0.001,-0.011245859999999998,1888,155844,2.7315946860795647e-05,2.1206410662090314e-08,82,999.0,154845
160,0.001,-0.01074994,1939,159840,4.6899920769648305e-05,1.9684351564963176e-08,82,999.0,158841
164,0.001,-0.010586109999999998,1990,163836,0.00011779951688396095,1.6092460154727717e-08,82,999.0,162837
168,0.001,-0.01048567,2040,167832,0.00013931208781053778,1.5496253490873053e-08,82,999.0,166833
172,0.001,-0.010427550000000002,2091,171828,7.928919608251565e-05,1.2866756256959391e-08,82,999.0,170829
176,0.001,-0.01072711,2141,175824,0.00010904924622972639,1.6794154832545005e-07,82,999.0,174825
