time/total_timesteps,train/learning_rate,time/time_elapsed,time/episodes,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss,time/fps,train/critic_loss
3996,0.0003,78,4,3895,-32.762862999999996,-1.9540843963623047,0.311015784740448,999.0,-6.486081123352051,50,0.0015931366942822933
7992,0.0003,160,8,7891,-31.048144750000002,-3.8955860137939453,0.09423463046550751,999.0,-6.661797523498535,49,0.0003040707088075578
11988,0.0003,241,12,11887,-27.237567333333335,-4.9297404289245605,0.02946295775473118,999.0,-5.5788702964782715,49,2.731802851485554e-05
15984,0.0003,322,16,15883,-22.532595437500003,-4.587197303771973,0.009908882901072502,999.0,-4.451539993286133,49,9.4544084277004e-06
19980,0.0003,404,20,19879,-18.638034100000002,-2.504589796066284,0.0036802031099796295,999.0,-3.549884557723999,49,3.197634214302525e-06
23976,0.0003,485,24,23875,-15.736340958333335,0.009197641164064407,0.0017860457301139832,999.0,-2.8445827960968018,49,5.628049621009268e-06
27972,0.0003,566,28,27871,-13.605563821428571,-0.08277565240859985,0.0016051250277087092,999.0,-2.2825846672058105,49,7.666805004191701e-07
31968,0.0003,647,32,31867,-12.00328321875,-0.19782914221286774,0.0015885685570538044,999.0,-1.8213489055633545,49,5.040992050453497e-07
35964,0.0003,728,36,35863,-10.755433583333334,0.08013938367366791,0.0015913646202534437,999.0,-1.4445956945419312,49,1.76176968125219e-06
39960,0.0003,809,40,39859,-9.754823949999999,0.5091805458068848,0.0015929421642795205,999.0,-1.1363085508346558,49,2.5956417175621027e-06
43956,0.0003,890,44,43855,-8.937873249999999,0.24128030240535736,0.0015941625460982323,999.0,-0.8830300569534302,49,5.320420086718514e-07
47952,0.0003,972,48,47851,-8.258787229166666,0.4126502573490143,0.0015935234259814024,999.0,-0.6738710403442383,49,7.029016160231549e-06
51948,0.0003,1053,52,51847,-7.685979326923077,-0.06388086080551147,0.0015899204881861806,999.0,-0.5076097846031189,49,9.133570415542636e-07
55944,0.0003,1134,56,55843,-7.19518225,-0.6166383624076843,0.0015831843484193087,999.0,-0.36989226937294006,49,6.333121973511879e-07
59940,0.0003,1215,60,59839,-6.767151366666667,-0.0012500174343585968,0.0015877960249781609,999.0,-0.2572702467441559,49,2.2759857642995485e-07
63936,0.0003,1297,64,63835,-6.392991390624999,-0.00971609354019165,0.0015897703124210238,999.0,-0.16447928547859192,49,4.152850863192725e-07
67932,0.0003,1379,68,67831,-6.063770661764705,0.00527741014957428,0.0015919572906568646,999.0,-0.08995616436004639,49,1.2984743591459846e-07
71928,0.0003,1461,72,71827,-5.770894569444445,-0.2270902395248413,0.0015903101302683353,999.0,-0.02882109396159649,49,6.656865991772065e-08
75924,0.0003,1546,76,75823,-5.5080502631578945,-0.09687024354934692,0.0016053447034209967,999.0,0.020868171006441116,49,6.751234593593836e-08
79920,0.0003,1628,80,79819,-5.2734616375,0.06072378158569336,0.0015913167735561728,999.0,0.06152597814798355,49,1.0292127683442232e-07
83916,0.0003,1712,84,83815,-5.0591841666666655,0.14338001608848572,0.0015907288761809468,999.0,0.09514074772596359,49,5.46556684355437e-08
87912,0.0003,1795,88,87811,-4.86556234090909,-0.3380221724510193,0.001595597597770393,999.0,0.1218087300658226,48,4.686880572535301e-08
91908,0.0003,1877,92,91807,-4.688080945652174,0.023488983511924744,0.0015923248138278723,999.0,0.14413920044898987,48,3.379067692321769e-08
95904,0.0003,1960,96,95803,-4.526458239583333,-0.10581710189580917,0.0015921547310426831,999.0,0.16198508441448212,48,3.494344369414648e-08
99900,0.0003,2043,100,99799,-4.3771032199999995,0.39557725191116333,0.0015903549501672387,999.0,0.17689985036849976,48,3.170415396880344e-08
103896,0.0003,2127,104,103795,-3.0980434900000002,-0.07852257788181305,0.001590234343893826,999.0,0.1885678768157959,48,2.2857351567040496e-08
107892,0.0003,2211,108,107791,-1.95756306,0.1921984851360321,0.0015889625065028667,999.0,0.19837595522403717,48,2.0445984461048283e-08
111888,0.0003,2294,112,111787,-1.20502518,-0.1965579092502594,0.0015880157006904483,999.0,0.2067532241344452,48,4.244580154022515e-08
115884,0.0003,2377,116,115783,-0.9010262299999999,-0.12780098617076874,0.0015902449376881123,999.0,0.21306440234184265,48,1.953217676486929e-08
119880,0.0003,2461,120,119779,-0.80998873,-0.05674318969249725,0.0015905407490208745,999.0,0.21810071170330048,48,2.537880483544086e-08
123876,0.0003,2545,124,123775,-0.79210096,-0.46520188450813293,0.0015911338850855827,999.0,0.22209367156028748,48,3.1019375512642e-08
127872,0.0003,2628,128,127771,-0.79160198,-0.23689410090446472,0.0015891154762357473,999.0,0.22595728933811188,48,3.017798633209168e-08
