time/episodes,train/learning_rate,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,train/actor_loss,train/critic_loss,time/fps,rollout/ep_len_mean,train/n_updates
4,0.001,-1561.02606225,7,800,20.272438611984253,0.10984944907948374,104,200.0,600
8,0.001,-1454.568740875,21,1600,45.63990985870361,0.04638459532521665,76,200.0,1400
12,0.001,-1274.2646749166665,31,2400,64.21921585083008,0.1356957452185452,76,200.0,2200
16,0.001,-1155.0625158125,43,3200,69.83281024932862,0.7245872585847973,73,200.0,3000
20,0.001,-1095.3066586500001,55,4000,73.19218563079833,1.3083006523549556,71,200.0,3800
24,0.001,-1055.7288675833333,68,4800,78.07249549865723,1.4185148999094963,70,200.0,4600
28,0.001,-926.6776444642855,80,5600,74.41052238464356,1.1609782983362675,69,200.0,5400
32,0.001,-825.57228846875,92,6400,68.67666507720948,1.049836581647396,69,200.0,6200
36,0.001,-748.2319748333334,104,7200,61.09626792907715,1.135806147158146,69,200.0,7000
40,0.001,-687.3665182999999,115,8000,56.4459889793396,1.2149776493012905,69,200.0,7800
44,0.001,-632.9231997727271,127,8800,50.24072603225708,1.0868087030947209,68,200.0,8600
48,0.001,-585.3512894791667,140,9600,43.557294569015504,0.9087624798715115,68,200.0,9400
52,0.001,-551.8521832307692,152,10400,38.57467404365539,1.1188310576975347,68,200.0,10200
56,0.001,-523.209635,164,11200,35.04545211791992,0.9594131638109684,68,200.0,11000
60,0.001,-490.45413941666664,176,12000,30.012051849365236,0.8389618489146232,68,200.0,11800
64,0.001,-465.45779123437495,187,12800,27.280083138942718,0.884712058827281,68,200.0,12600
68,0.001,-446.8045144411764,200,13600,23.798038787841797,0.9372113614529372,67,200.0,13400
72,0.001,-430.2890595277778,212,14400,21.49265499830246,0.8068795166164636,67,200.0,14200
76,0.001,-412.3039410657895,224,15200,18.7807678604126,1.1046297259628772,67,200.0,15000
80,0.001,-400.4698210875,235,16000,15.833440890312195,0.9548060578852892,67,200.0,15800
84,0.001,-388.2119005595238,248,16800,14.907696675136686,0.7901892586052418,67,200.0,16600
88,0.001,-378.9983621477273,260,17600,13.981617617309093,0.9692333612591029,67,200.0,17400
92,0.001,-369.1192398369565,271,18400,12.709469542950393,1.0652046777307986,67,200.0,18200
96,0.001,-359.9322876354167,283,19200,9.015525706149639,0.8510123381018638,67,200.0,19000
100,0.001,-352.64286709999993,295,20000,6.994224312193691,0.8438259828090667,67,200.0,19800
104,0.001,-297.68579968,308,20800,6.77849197074771,0.7946559917926789,67,200.0,20600
108,0.001,-252.93362308000005,320,21600,6.6211946498416365,0.9371049322187901,67,200.0,21400
112,0.001,-222.60563941,332,22400,6.359642268382013,0.7819829872250557,67,200.0,22200
116,0.001,-196.65379091,344,23200,6.758003697767854,0.8112060961127281,67,200.0,23000
120,0.001,-170.46792700999998,356,24000,6.345032806633972,0.8671786648780108,67,200.0,23800
124,0.001,-142.11655825,368,24800,6.426174304643646,0.7960634955763817,67,200.0,24600
128,0.001,-139.58789672,380,25600,6.098555407053791,0.8270020750910043,67,200.0,25400
132,0.001,-144.29341691,392,26400,5.88386979598552,0.7861174767836928,67,200.0,26200
136,0.001,-151.18746047000002,404,27200,7.0133002874992965,0.8648197526857256,67,200.0,27000
140,0.001,-151.70729554,416,28000,6.533488407209515,0.8923902300745249,67,200.0,27800
144,0.001,-151.90482486,427,28800,5.627425244152546,1.025553627088666,67,200.0,28600
148,0.001,-155.45794557000002,439,29600,6.429977937545627,0.6251303841546177,67,200.0,29400
152,0.001,-156.90761082999998,451,30400,6.806635119840503,0.9133718451112509,67,200.0,30200
156,0.001,-155.71306301,463,31200,6.908812169916928,0.9270306997746229,67,200.0,31000
160,0.001,-162.43580991,475,32000,6.621857532714493,0.6982551679387689,67,200.0,31800
164,0.001,-164.85079708,487,32800,6.653069929927588,0.9140842360630631,67,200.0,32600
168,0.001,-161.31294012999996,498,33600,7.152691797288135,1.1190762617439032,67,200.0,33400
172,0.001,-159.07666653,510,34400,5.884965866059065,1.1921612361818552,67,200.0,34200
176,0.001,-162.58276497,521,35200,6.0544885647669435,1.125269229002297,67,200.0,35000
180,0.001,-162.63828758000002,533,36000,6.149449026193469,0.6992605949193239,67,200.0,35800
184,0.001,-165.16886560000003,545,36800,6.081327903345227,0.955442302301526,67,200.0,36600
188,0.001,-163.77379885,556,37600,5.631101869372651,0.9380326383188367,67,200.0,37400
192,0.001,-162.47440345,568,38400,5.444529641703703,0.6894412513077259,67,200.0,38200
196,0.001,-163.4904956,580,39200,6.4816143932938575,0.5332950693182648,67,200.0,39000
200,0.001,-163.60192332,591,40000,6.219779400510015,0.6811048462986946,67,200.0,39800
204,0.001,-158.59743473,603,40800,5.767010491825641,0.8222492656484246,67,200.0,40600
208,0.001,-153.09602919000002,615,41600,6.536782014779747,0.6977456384152174,67,200.0,41400
212,0.001,-152.87336534999997,627,42400,6.30896257545799,0.8188775711879134,67,200.0,42200
216,0.001,-152.90754086000004,638,43200,6.284026697427034,0.8305290004238486,67,200.0,43000
220,0.001,-150.89398546,650,44000,5.994227441251278,0.8102499198168516,67,200.0,43800
224,0.001,-150.92217429,662,44800,5.789461367204785,0.7364272566884756,67,200.0,44600
228,0.001,-152.30146491,673,45600,5.590841213115491,0.6454329526051878,67,200.0,45400
232,0.001,-147.77602948999998,685,46400,5.580123112164438,0.7476444005221129,67,200.0,46200
236,0.001,-140.43439166,696,47200,6.588041296545416,1.3982443747296929,67,200.0,47000
240,0.001,-140.07804676,708,48000,5.476161415539682,1.2386827350780367,67,200.0,47800
244,0.001,-141.21834689999997,720,48800,6.634079022947699,0.8535230165719986,67,200.0,48600
248,0.001,-139.89350720000002,731,49600,6.136006548199803,1.080472909361124,67,200.0,49400
252,0.001,-141.44420584000002,743,50400,6.587201508218422,0.5065561247617006,67,200.0,50200
256,0.001,-140.29374274,755,51200,6.46303387992084,0.6838508367165923,67,200.0,51000
260,0.001,-138.15114961000003,767,52000,7.187809182032943,0.6612225553020835,67,200.0,51800
264,0.001,-138.09969125,779,52800,7.320323201709252,1.415061878859997,67,200.0,52600
268,0.001,-141.6745261,790,53600,7.566504756542854,0.6731075260043144,67,200.0,53400
272,0.001,-145.37306991000003,802,54400,7.822645197790116,1.1900215534120797,67,200.0,54200
276,0.001,-143.93513603,814,55200,7.889615192264318,1.077214791122824,67,200.0,55000
280,0.001,-140.48480398,827,56000,7.279300914816559,0.6061001342535018,67,200.0,55800
