time/total_timesteps,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/clip_fraction,train/loss,train/explained_variance,train/std,train/n_updates,train/approx_kl,train/policy_gradient_loss
2048,200.0,2443,1,-1293.2901785000001,0,,,,,,,,,,,
4096,200.0,1711,2,-1178.9117131499997,2,0.0003,0.2,-1.4121390223503112,10335.797958374023,0.013623046875,5090.60498046875,0.0005992650985717773,0.9893950819969177,10,0.0029979735,-0.0017856754995591473
6144,200.0,1552,3,-1168.9709874,3,0.0003,0.2,-1.4122575744986534,6854.359663391113,0.006884765625,2732.21435546875,0.19839024543762207,0.996874213218689,20,0.0013716202,-0.0010220660187769681
8192,200.0,1479,4,-1193.359194825,5,0.0003,0.2,-1.4101921401917934,7980.066813659668,0.018115234375,3692.482421875,0.05992531776428223,0.9848068356513977,30,0.0036428685,-0.0028066173937986603
10240,200.0,1431,5,-1191.3856836470588,7,0.0003,0.2,-1.407240030542016,8105.655548095703,0.007763671875,3801.387939453125,0.018360555171966553,0.9918617010116577,40,0.0021150135,-0.0004971351940184831
12288,200.0,1406,6,-1205.862094114754,8,0.0003,0.2,-1.4062366403639317,8429.683360290528,0.001806640625,4240.95849609375,0.0070304274559021,0.9824760556221008,50,0.0018014306,-0.0007481783031835221
14336,200.0,1387,7,-1206.851653197183,10,0.0003,0.2,-1.393019700422883,9161.238751220702,0.000146484375,4754.2568359375,0.003387749195098877,0.9663084745407104,60,0.00053250574,-0.0004201379488222301
16384,200.0,1374,8,-1199.2358296049383,11,0.0003,0.2,-1.3805746335536242,7296.127471923828,0.00595703125,3776.5634765625,0.002462029457092285,0.9592790007591248,70,0.0023242636,-0.000546184835548047
18432,200.0,1367,9,-1190.0293379673913,13,0.0003,0.2,-1.3845732301473617,6967.924118041992,0.004638671875,3349.586669921875,0.0020951032638549805,0.9719066023826599,80,0.0012431332,-0.0006380366656230762
20480,200.0,1358,10,-1186.20658781,15,0.0003,0.2,-1.3937793955206872,6535.536860656738,0.00615234375,3061.9228515625,0.0014356374740600586,0.9780973792076111,90,0.0028206303,-0.0006442742116632872
22528,200.0,1352,11,-1184.5850747,16,0.0003,0.2,-1.3933745123445989,6953.158030700683,0.030126953125,3653.738525390625,0.00106126070022583,0.9721537828445435,100,0.004591123,-0.0034559001069283113
24576,200.0,1348,12,-1187.93711957,18,0.0003,0.2,-1.3964197739958764,7308.550457763672,0.0216796875,3509.7744140625,0.0006774067878723145,0.9819803833961487,110,0.0025483617,-0.0021855145954759792
26624,200.0,1343,13,-1194.0945274399999,19,0.0003,0.2,-1.3995977252721787,6979.769454956055,0.003076171875,2716.510498046875,0.0006240010261535645,0.9788663983345032,120,0.001302112,-0.0012182857564766892
28672,200.0,1339,14,-1180.4127489,21,0.0003,0.2,-1.401470209658146,6337.497985839844,0.00791015625,3197.43798828125,0.0005044341087341309,0.9859538078308105,130,0.0024562692,-0.0016465390464873054
30720,200.0,1336,15,-1182.2109041500003,22,0.0003,0.2,-1.4006764315068723,5301.538311767578,0.00966796875,2100.849365234375,0.00031566619873046875,0.9777880311012268,140,0.0022033835,-0.0007477470382582397
32768,200.0,1333,16,-1151.41521267,24,0.0003,0.2,-1.3890205565840006,5599.689471435547,0.0115234375,2685.32421875,0.0002695322036743164,0.9672371745109558,150,0.0031311142,-0.0022605576246860436
34816,200.0,1331,17,-1137.4122666799997,26,0.0003,0.2,-1.3736564837396146,4941.217132568359,0.024658203125,2225.645751953125,0.00018966197967529297,0.9464735388755798,160,0.004061832,-0.0030663917088531887
36864,200.0,1327,18,-1162.2986185599998,27,0.0003,0.2,-1.3596296548843383,4394.338916015625,0.006591796875,1758.310791015625,0.00015240907669067383,0.9368974566459656,170,0.0017629891,-0.0006777400587452576
38912,200.0,1321,19,-1160.78164349,29,0.0003,0.2,-1.3579356025904417,7265.179167175293,0.012939453125,3340.8828125,9.191036224365234e-05,0.9437339901924133,180,0.0021910572,-0.0010388934701040854
40960,200.0,1319,20,-1169.12190179,31,0.0003,0.2,-1.3587527465075255,4854.915093994141,0.01396484375,2545.947509765625,0.00012814998626708984,0.9387632608413696,190,0.003388121,-0.0006206145240867045
43008,200.0,1318,21,-1170.37969689,32,0.0003,0.2,-1.3451739393174649,7233.4615478515625,0.041650390625,3438.162109375,4.45246696472168e-05,0.9193080067634583,200,0.0050333748,-0.0036325879031210207
45056,200.0,1316,22,-1149.8134576300001,34,0.0003,0.2,-1.3347618535161019,5109.335617828369,0.0095703125,2768.97802734375,8.302927017211914e-05,0.9229355454444885,210,0.002419495,-0.0014658885498647577
