time/total_timesteps,train/learning_rate,time/time_elapsed,time/episodes,train/n_updates,rollout/ep_rew_mean,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,train/actor_loss,time/fps,train/critic_loss
800,0.0003,18,4,699,-1354.1305905,-0.33188778162002563,0.8125854134559631,200.0,19.939743041992188,43,0.2789691090583801
1600,0.0003,39,8,1499,-1501.44985025,-0.6209741234779358,0.6457046270370483,200.0,44.347373962402344,40,0.15869730710983276
2400,0.0003,60,12,2299,-1365.262473,-0.5988469123840332,0.5277642607688904,200.0,65.20751953125,39,0.22833281755447388
3200,0.0003,81,16,3099,-1260.1315388125,-0.4773842394351959,0.4514821469783783,200.0,77.13017272949219,39,0.7021884918212891
4000,0.0003,102,20,3899,-1120.0510754499999,-0.2896465063095093,0.3963131904602051,200.0,89.13640594482422,39,0.5303573608398438
4800,0.0003,123,24,4699,-969.341049875,-0.3566204905509949,0.3491169214248657,200.0,93.72826385498047,38,0.7055850625038147
5600,0.0003,144,28,5499,-853.4116612857141,-0.35133662819862366,0.3020350933074951,200.0,86.62805938720703,38,1.2976346015930176
6400,0.0003,165,32,6299,-762.6842336249999,-0.4032154083251953,0.2600874900817871,200.0,87.92208099365234,38,1.5226290225982666
7200,0.0003,186,36,7099,-724.7607390277777,-0.40487802028656006,0.23005329072475433,200.0,85.84867858886719,38,3.203126907348633
8000,0.0003,207,40,7899,-670.8490664249999,-0.531209409236908,0.20423060655593872,200.0,77.87614440917969,38,2.521653652191162
8800,0.0003,227,44,8699,-621.2059052499999,-0.4618978798389435,0.17777329683303833,200.0,72.02769470214844,38,1.3897764682769775
9600,0.0003,248,48,9499,-584.1874860208333,-0.2631687521934509,0.15610936284065247,200.0,80.41542053222656,38,3.4864554405212402
10400,0.0003,269,52,10299,-544.2916630576922,-0.24196220934391022,0.13898169994354248,200.0,73.44385528564453,38,1.7284891605377197
11200,0.0003,290,56,11099,-518.9378396607143,-0.15530599653720856,0.12367252260446548,200.0,70.0265121459961,38,1.5963549613952637
12000,0.0003,311,60,11899,-496.34742268333326,-0.31503137946128845,0.11127013713121414,200.0,61.93791580200195,38,3.0409579277038574
12800,0.0003,332,64,12699,-476.53619681249995,-0.4327705204486847,0.09970495849847794,200.0,65.51008605957031,38,1.973114252090454
13600,0.0003,352,68,13499,-454.01289305882347,-0.19520096480846405,0.08831717073917389,200.0,60.799072265625,38,2.6966166496276855
14400,0.0003,374,72,14299,-437.6010699722222,-0.005740262567996979,0.07788974791765213,200.0,56.84016418457031,38,1.4674450159072876
15200,0.0003,395,76,15099,-422.73381713157903,0.04012182354927063,0.06852143257856369,200.0,45.66877746582031,38,1.0743229389190674
16000,0.0003,416,80,15899,-410.520699875,-0.009201090782880783,0.07002712786197662,200.0,52.01336669921875,38,2.4647746086120605
16800,0.0003,437,84,16699,-396.91613367857144,-0.022270075976848602,0.0713711678981781,200.0,45.86930465698242,38,0.906855046749115
17600,0.0003,458,88,17499,-384.4427550909091,-0.13748899102210999,0.07065940648317337,200.0,46.885093688964844,38,1.093925952911377
18400,0.0003,478,92,18299,-376.76386232608684,-0.3585183024406433,0.07327011972665787,200.0,45.523494720458984,38,0.5429965257644653
19200,0.0003,499,96,19099,-368.6673225625,0.64954674243927,0.07181194424629211,200.0,54.08938217163086,38,1.2228668928146362
20000,0.0003,519,100,19899,-361.50388731999993,-0.3226873278617859,0.061894964426755905,200.0,46.38809585571289,38,0.6854832172393799
20800,0.0003,539,104,20699,-313.38530261,0.31630373001098633,0.05705341324210167,200.0,45.63402557373047,38,0.99146968126297
21600,0.0003,560,108,21499,-254.52403505999996,0.33702272176742554,0.06109160557389259,200.0,37.684722900390625,38,1.1657259464263916
22400,0.0003,580,112,22299,-215.68585319000005,0.14208929240703583,0.0665980651974678,200.0,49.63248825073242,38,1.338557481765747
